date,ndvi_mean_wt,ndvi_mean_it,site
2019-06-01,0.4067881155464979,0.4726054005603593,TGC1
2019-06-01,0.4067881155464979,0.4679081008156551,TGC1
2019-06-01,0.4108782279818037,0.4726054005603593,TGC1
2019-06-01,0.4108782279818037,0.4679081008156551,TGC1
2019-06-03,0.433681431713598,0.5136820650850686,TGC1
2019-06-03,0.433681431713598,0.5026942026657528,TGC1
2019-06-03,0.4285819614443594,0.5136820650850686,TGC1
2019-06-03,0.4285819614443594,0.5026942026657528,TGC1
2019-06-11,0.5228983247248842,0.5647310894361254,TGC1
2019-06-15,0.5510550480335048,0.5800950236689819,TGC1
2019-06-15,0.5510550480335048,0.5782122010717206,TGC1
2019-06-15,0.5484429533638456,0.5800950236689819,TGC1
2019-06-15,0.5484429533638456,0.5782122010717206,TGC1
2019-06-16,0.5446704995324364,0.5763234621160247,TGC1
2019-06-16,0.5446704995324364,0.5760455516353139,TGC1
2019-06-16,0.5441317824641446,0.5763234621160247,TGC1
2019-06-16,0.5441317824641446,0.5760455516353139,TGC1
2019-06-18,0.5593027886476505,0.5871954623331405,TGC1
2019-06-18,0.5593027886476505,0.5867726692288296,TGC1
2019-06-18,0.5585382381251549,0.5871954623331405,TGC1
2019-06-18,0.5585382381251549,0.5867726692288296,TGC1
2019-06-20,0.4462881412197061,0.4836341637360923,TGC1
2019-06-20,0.4462881412197061,0.4778231551631061,TGC1
2019-06-20,0.4399715397772649,0.4836341637360923,TGC1
2019-06-20,0.4399715397772649,0.4778231551631061,TGC1
2019-06-26,0.6191389581838552,0.6306590255127409,TGC1
2019-06-26,0.6191389581838552,0.6330774180925596,TGC1
2019-06-26,0.6223632263311704,0.6306590255127409,TGC1
2019-06-26,0.6223632263311704,0.6330774180925596,TGC1
2019-07-08,0.6494523202997438,0.644514810366986,TGC1
2019-07-08,0.6494523202997438,0.6492167971110043,TGC1
2019-07-08,0.6552779557082927,0.644514810366986,TGC1
2019-07-08,0.6552779557082927,0.6492167971110043,TGC1
2019-07-10,0.6722442786160014,0.6564394018719991,TGC1
2019-07-10,0.6722442786160014,0.6600314145485431,TGC1
2019-07-10,0.6769643841942418,0.6564394018719991,TGC1
2019-07-10,0.6769643841942418,0.6600314145485431,TGC1
2019-07-11,0.6325428308097435,0.6343206518272162,TGC1
2019-07-11,0.6325428308097435,0.6344579346545314,TGC1
2019-07-11,0.6327940702572016,0.6343206518272162,TGC1
2019-07-11,0.6327940702572016,0.6344579346545314,TGC1
2019-07-23,0.6131950829590472,0.6123675093545611,TGC1
2019-08-05,0.6735234153281104,0.6644575849027953,TGC1
2019-08-07,0.6721376479601551,0.6628656260981948,TGC1
2019-08-07,0.6721376479601551,0.6701815106304482,TGC1
2019-08-07,0.6814779544188535,0.6628656260981948,TGC1
2019-08-07,0.6814779544188535,0.6701815106304482,TGC1
2019-08-30,0.5517659544982623,0.5452226309561743,TGC1
2019-08-30,0.5517659544982623,0.5435039787684082,TGC1
2019-08-30,0.5498679917065217,0.5452226309561743,TGC1
2019-08-30,0.5498679917065217,0.5435039787684082,TGC1
2020-06-02,0.3717576371361135,0.4671444916394234,TGC1
2020-06-02,0.3717576371361135,0.4640488490018266,TGC1
2020-06-02,0.3746323592731892,0.4671444916394234,TGC1
2020-06-02,0.3746323592731892,0.4640488490018266,TGC1
2020-06-20,0.5578555182307261,0.5936054220823177,TGC1
2020-07-07,0.6604123584916384,0.6555190167150537,TGC1
2020-07-07,0.6604123584916384,0.6580427473582771,TGC1
2020-07-07,0.6636305493146886,0.6555190167150537,TGC1
2020-07-07,0.6636305493146886,0.6580427473582771,TGC1
2020-07-15,0.6677738885016582,0.6724603768238885,TGC1
2020-07-15,0.6677738885016582,0.6728531598752483,TGC1
2020-07-15,0.6681818294921424,0.6724603768238885,TGC1
2020-07-15,0.6681818294921424,0.6728531598752483,TGC1
2020-08-04,0.6622167084464864,0.6647694274529095,TGC1
2020-08-06,0.6611620987862397,0.6463269197469409,TGC1
2020-08-21,0.5368350109361194,0.5294546023276451,TGC1
2020-08-21,0.5368350109361194,0.5291770246613905,TGC1
2020-08-21,0.5362721703225521,0.5294546023276451,TGC1
2020-08-21,0.5362721703225521,0.5291770246613905,TGC1
2021-07-12,0.6714548598005876,0.6590712936271568,TGC1
2021-07-12,0.6714548598005876,0.6617643376944178,TGC1
2021-07-12,0.6750357124585175,0.6590712936271568,TGC1
2021-07-12,0.6750357124585175,0.6617643376944178,TGC1
2021-07-19,0.7005441537834683,0.6763033433571409,TGC1
2021-07-19,0.7005441537834683,0.6765677165874089,TGC1
2021-07-19,0.7007428073880546,0.6763033433571409,TGC1
2021-07-19,0.7007428073880546,0.6765677165874089,TGC1
2021-07-20,0.7014716664400406,0.6878824830036918,TGC1
2021-07-20,0.7014716664400406,0.686604170627049,TGC1
2021-07-20,0.6996550297719708,0.6878824830036918,TGC1
2021-07-20,0.6996550297719708,0.686604170627049,TGC1
2021-08-04,0.7385878958454486,0.7140510746497275,TGC1
2021-08-04,0.7385878958454486,0.7140607799496338,TGC1
2021-08-04,0.738201441784692,0.7140510746497275,TGC1
2021-08-04,0.738201441784692,0.7140607799496338,TGC1
2022-06-05,0.3358675293889391,0.4456269149737972,TGC1
2022-06-19,0.4298355955435511,0.5215532203680763,TGC1
2022-06-20,0.4395135780936291,0.5254642814119171,TGC1
2022-06-20,0.4395135780936291,0.52680568454587,TGC1
2022-06-20,0.4434495239552093,0.5254642814119171,TGC1
2022-06-20,0.4434495239552093,0.52680568454587,TGC1
2022-07-09,0.6863297517787614,0.6819015330930579,TGC1
2022-07-09,0.6863297517787614,0.6758142066171599,TGC1
2022-07-09,0.6787390868361487,0.6819015330930579,TGC1
2022-07-09,0.6787390868361487,0.6758142066171599,TGC1
