date,ndvi_mean_wt,ndvi_mean_it
2019-06-07,0.4845819438024269,0.5273503985471315
2019-06-18,0.5797463275539025,0.5926959459624478
2019-06-20,0.5764738472796781,0.602503266405408
2019-07-02,0.6540005186856888,0.6402790793288378
2019-07-09,0.7274626718823034,0.7000408924283157
2019-07-12,0.7273898577450825,0.6967359028383932
2019-07-13,0.7099937355038533,0.6791483720947539
2019-07-30,0.725235203657232,0.6959805786173309
2020-06-01,0.4685247262187969,0.5130849729057605
2020-06-03,0.4724419534790971,0.5130675190408354
2020-06-04,0.472005111597821,0.517606485320563
2020-06-09,0.4624910029081256,0.4961142101904107
2020-06-12,0.537837031630304,0.5661422426888473
2020-06-21,0.6320405624236634,0.6353359253780606
2020-06-27,0.7096413644428834,0.6961086954521724
2020-07-07,0.7458921463698835,0.7244313398934639
2021-06-19,0.5897877987664514,0.6162697962492406
2021-06-22,0.6197124459666443,0.6295033810650049
2021-07-19,0.7959725717933185,0.777169440703167
2022-07-01,0.398454626334645,0.3963536299027952
2022-07-02,0.5719267703558311,0.5663442310582842
2022-08-03,0.8127097392431325,0.7839865711959136
2022-08-12,0.7995181888428373,0.7708768061088784
2023-06-11,0.4686279057751677,0.5164576520730402
2023-06-17,0.5225552359258191,0.5757002181024004
2023-06-24,0.5967826208987612,0.6352702275316346
2023-07-23,0.8008499320171467,0.7695308657694625
2023-07-27,0.7818306469872603,0.7537178312770388
2023-07-29,0.7818136507394796,0.752097391671714
2023-08-05,0.8137009214186112,0.7870279556669773
2024-06-10,0.4555826821426526,0.5126146962434179
2024-06-12,0.4753946511104159,0.5233064365563468
2024-06-13,0.4727811049869391,0.5197784397214373
2024-06-15,0.4819774634002161,0.5330817028733127
2024-06-16,0.4723161629292022,0.5213185536598781
2024-06-22,0.5155982250343091,0.5591510743211795
2024-06-25,0.5876086511516052,0.616065546295261
2024-07-11,0.7776853744834085,0.7570655304429863
2024-08-04,0.8184220052784752,0.7906126537704136
2024-08-05,0.8251329202113198,0.7975109670731138
2024-08-14,0.7935679372964738,0.7680185554987923
2024-08-26,0.7532123089146772,0.7312469424123988
2024-08-27,0.7261307537382117,0.7059153299419795
2025-06-16,0.4982873681222819,0.5517628666521549
2025-06-17,0.4993247860936597,0.5492861175869866
2025-06-18,0.5147708085421455,0.5650269305559502
2025-07-03,0.7166751249447995,0.7138056657169495
2025-07-05,0.7487175953300015,0.738181874170033
2025-07-06,0.738528642569483,0.7270100255127131
2025-07-13,0.7924202122939331,0.7771161936996218
2025-07-20,0.7919939238210993,0.7713807020891714
2025-07-27,0.7967801109378173,0.7723522497086338
2025-08-01,0.8160399876649997,0.7909299933577587
2025-08-02,0.8004798573013387,0.7747342487983595
2025-08-07,0.8050273335975152,0.7804106217282175
2025-08-17,0.7777968079642754,0.7540808498008228
2025-08-31,0.6261728578874884,0.6249542723103877
